,error,val_error
0,3.2963534857775714,1.9737652352562658
1,2.881069883140358,2.0428377978595686
2,2.8764800664540884,2.140109377142824
3,2.582835827647029,2.236254475734852
4,2.4158736628455086,2.3397000483524653
5,2.518470237061784,2.4316033882859314
6,2.3792011699161013,2.5284604400764277
7,2.0518725156784057,2.635239396566226
8,2.219590619448069,2.74526666270362
9,2.2152731721465653,2.856562061810199
10,1.963100839949943,2.963465607460634
11,1.9757667818584959,3.066832612326116
12,1.9759651454719338,3.152800119953391
13,1.9767100733679694,3.2227554483178222
14,1.950884129550006,3.2667154566741283
15,1.9673313843237388,3.3369279511180925
16,1.673266559678155,3.394740640381236
17,1.7854865621876073,3.447041195115925
18,1.6957691946545164,3.4859260011602333
19,1.8178743800601445,3.5246714677339717
20,1.7150168547759186,3.572983260507937
21,1.5904590510033272,3.593086498754996
22,1.6369245554949787,3.625009752350089
23,1.6008956522554965,3.6534848853393838
24,1.6161144198598087,3.6588814670656933
25,1.5647558534467543,3.6567608559573137
